time,follower
2019-09-15 21:54:31,1246
2019-09-15 21:59:31,1394
2019-09-15 22:04:31,1528
2019-09-15 22:09:31,1648
2019-09-15 22:14:31,1746
2019-09-15 22:19:31,1832
2019-09-15 22:24:31,1912
2019-09-15 22:29:31,1989
2019-09-15 22:34:31,2055
2019-09-15 22:39:31,2110
2019-09-15 22:44:31,2165
2019-09-15 22:49:31,2205
2019-09-15 22:54:31,2255
2019-09-15 22:59:31,2307
2019-09-15 23:04:31,2343
2019-09-15 23:09:31,2375
2019-09-15 23:14:31,2413
2019-09-15 23:19:31,2446
2019-09-15 23:24:31,2482
2019-09-15 23:29:31,2519
2019-09-15 23:34:31,2567
2019-09-15 23:39:31,2605
2019-09-15 23:44:31,2640
2019-09-15 23:49:31,2672
2019-09-15 23:54:31,2696
2019-09-15 23:59:31,2726
2019-09-16 00:04:31,2748
2019-09-16 00:09:34,2767
2019-09-16 00:14:31,2782
2019-09-16 00:19:31,2803
2019-09-16 00:24:31,2820
2019-09-16 00:29:31,2842
2019-09-16 00:34:31,2860
2019-09-16 00:39:31,2880
2019-09-16 00:44:31,2890
2019-09-16 00:49:32,2906
2019-09-16 00:54:31,2915
2019-09-16 00:59:31,2926
2019-09-16 01:04:31,2941
2019-09-16 01:09:31,2948
2019-09-16 01:14:31,2956
2019-09-16 01:19:31,2966
2019-09-16 01:24:31,2983
2019-09-16 01:29:31,2996
2019-09-16 01:34:31,3006
2019-09-16 01:39:31,3012
2019-09-16 01:44:31,3017
2019-09-16 01:49:31,3031
2019-09-16 01:54:31,3037
2019-09-16 01:59:31,3044
2019-09-16 02:04:31,3048
2019-09-16 02:09:31,3054
2019-09-16 02:14:31,3061
2019-09-16 02:19:31,3069
2019-09-16 02:24:31,3073
2019-09-16 02:39:31,3077
2019-09-16 02:49:31,3087
2019-09-16 02:59:31,3092
2019-09-16 03:24:31,3097
2019-09-16 03:44:31,3103
2019-09-16 03:49:31,3109
2019-09-16 04:04:31,3114
2019-09-16 04:29:31,3118
2019-09-16 04:39:31,3122
2019-09-16 05:04:31,3128
2019-09-16 05:14:31,3132
2019-09-16 05:39:31,3137
2019-09-16 05:59:31,3141
2019-09-16 06:09:31,3149
2019-09-16 06:14:31,3153
2019-09-16 06:24:31,3157
2019-09-16 06:39:31,3163
2019-09-16 06:44:31,3168
2019-09-16 06:54:31,3175
2019-09-16 06:59:31,3180
2019-09-16 07:04:31,3192
2019-09-16 07:09:31,3198
2019-09-16 07:14:31,3204
2019-09-16 07:19:31,3209
2019-09-16 07:24:31,3216
2019-09-16 07:29:31,3222
2019-09-16 07:34:31,3229
2019-09-16 07:39:31,3237
2019-09-16 07:44:31,3243
2019-09-16 07:49:31,3253
2019-09-16 07:54:31,3260
2019-09-16 07:59:31,3272
2019-09-16 08:04:31,3316
2019-09-16 08:09:31,3375
2019-09-16 08:14:31,3422
2019-09-16 08:19:31,3461
2019-09-16 08:24:31,3493
2019-09-16 08:29:31,3534
2019-09-16 08:34:31,3569
2019-09-16 08:39:31,3605
2019-09-16 08:44:31,3651
2019-09-16 08:49:31,3696
2019-09-16 08:54:31,3744
2019-09-16 08:59:31,3784
2019-09-16 09:04:31,3829
2019-09-16 09:09:31,3874
2019-09-16 09:14:31,3917
2019-09-16 09:19:31,3964
2019-09-16 09:24:31,3994
2019-09-16 09:29:31,4029
2019-09-16 09:34:31,4062
2019-09-16 09:39:31,4092
2019-09-16 09:44:31,4128
2019-09-16 09:49:31,4161
2019-09-16 09:54:31,4203
2019-09-16 09:59:31,4247
2019-09-16 10:04:31,4293
2019-09-16 10:09:31,4346
2019-09-16 10:14:31,4389
2019-09-16 10:19:31,4438
2019-09-16 10:24:31,4489
2019-09-16 10:29:31,4532
2019-09-16 10:34:31,4563
2019-09-16 10:39:31,4593
2019-09-16 10:44:31,4632
2019-09-16 10:49:45,4671
2019-09-16 10:54:31,4706
2019-09-16 10:59:31,4734
2019-09-16 11:04:31,4778
2019-09-16 11:09:31,4818
2019-09-16 11:14:31,4850
2019-09-16 11:19:31,4877
2019-09-16 11:24:31,4910
2019-09-16 11:29:31,4933
2019-09-16 11:34:31,4960
2019-09-16 11:39:31,4979
2019-09-16 11:44:31,5002
2019-09-16 11:49:31,5034
2019-09-16 11:54:31,5072
2019-09-16 11:59:31,5104
2019-09-16 12:04:31,5143
2019-09-16 12:09:31,5186
2019-09-16 12:14:31,5237
2019-09-16 12:19:31,5306
2019-09-16 12:24:31,5355
2019-09-16 12:29:31,5408
2019-09-16 12:34:31,5491
2019-09-16 12:39:31,5550
2019-09-16 12:44:31,5598
2019-09-16 12:49:31,5659
2019-09-16 12:54:31,5709
2019-09-16 12:59:31,5760
2019-09-16 13:04:31,5814
2019-09-16 13:09:31,5854
2019-09-16 13:14:31,5886
2019-09-16 13:19:31,5915
2019-09-16 13:24:31,5944
2019-09-16 13:29:31,5975
2019-09-16 13:34:31,6004
2019-09-16 13:39:31,6024
2019-09-16 13:44:31,6052
2019-09-16 13:49:31,6065
2019-09-16 13:54:31,6084
2019-09-16 13:59:31,6101
2019-09-16 14:04:31,6119
2019-09-16 14:09:31,6130
2019-09-16 14:14:31,6140
2019-09-16 14:19:31,6154
2019-09-16 14:24:31,6169
2019-09-16 14:29:31,6178
2019-09-16 14:34:31,6188
2019-09-16 14:39:31,6195
2019-09-16 14:44:31,6204
2019-09-16 14:49:31,6213
2019-09-16 14:59:31,6226
2019-09-16 15:04:31,6235
2019-09-16 15:09:31,6245
2019-09-16 15:14:31,6256
2019-09-16 15:19:31,6267
2019-09-16 15:24:31,6276
2019-09-16 15:29:31,6284
2019-09-16 15:34:31,6292
2019-09-16 15:44:31,6302
2019-09-16 15:49:31,6317
2019-09-16 15:59:31,6330
2019-09-16 16:04:31,6343
2019-09-16 16:09:31,6353
2019-09-16 16:14:31,6362
2019-09-16 16:19:31,6375
2019-09-16 16:24:31,6383
2019-09-16 16:29:31,6393
2019-09-16 16:34:31,6400
2019-09-16 16:39:31,6409
2019-09-16 16:44:31,6416
2019-09-16 16:49:31,6426
2019-09-16 16:59:31,6435
2019-09-16 17:04:31,6447
2019-09-16 17:09:31,6456
2019-09-16 17:14:31,6467
2019-09-16 17:19:31,6482
2019-09-16 17:29:31,6499
2019-09-16 17:34:31,6512
2019-09-16 17:39:31,6522
2019-09-16 17:44:31,6531
2019-09-16 17:49:31,6542
2019-09-16 17:54:31,6552
2019-09-16 17:59:31,6562
2019-09-16 18:04:31,6578
2019-09-16 18:09:31,6595
2019-09-16 18:14:31,6611
2019-09-16 18:19:31,6626
2019-09-16 18:24:31,6638
2019-09-16 18:29:31,6646
